产品类型,零件号,工艺段,工序号,工序名,设备,特殊特性,产品/过程规范,评价方法,样本,频次,控制方法,反应计划,负责人
ADAS域控,DCU-A-001,离线烧录,050,SOC+eMMC离线烧录@SMT前,烧录器#7,◆程序版本一致,Checksum=CSR清单;仅SMT前完成,100%比对,每颗,批前核对,版本不符停线隔离,测试
ADAS域控,DCU-A-001,SMT,120,锡膏印刷,SPI#3,◆BGA焊盘SPI体积,88-92%,SPI全检,连续,SPI Cpk,低体积停线,工艺
ADAS域控,DCU-A-001,SMT,140,BGA贴装与回流,贴片机#5,◆U12大BGA,按Profile#ADAS-04,炉温曲线+AOI,首件+每2h,空洞率≤15%,超阈停线,工艺
ADAS域控,DCU-A-001,SMT,145,BGA X-Ray,AXI#2,◆空洞,≤CSR%,SafeLaunch=100%全检;量产后批首件+5%抽检,见阶段列,SL全检/MP抽检,NG加严至全检,质量
ADAS域控,DCU-A-001,测试,420,FCT,FCT-DCU-A-05,◆Eth/CAN环回,100%项通过,FCT脚本,100%,一次通过率p图,追溯烧录批次+Profile+XRay阶段,测试
车身域控,DCU-B-001,离线烧录,050,MCU预烧@SMT前,烧录#3,◆CAN矩阵Boot,版本=CSR,100%校验,每颗,批记录,错版封存,测试
车身域控,DCU-B-001,SMT,120,SPI印刷,SPI#1,◆关键网络,88-92%,SPI,连续,Cpk,调整钢网,工艺
车身域控,DCU-B-001,SMT,146,BGA X-Ray,AXI#1,◆关键BGA,≤CSR%,SafeLaunch全检;量产后首件+每日抽5片,见阶段,SL/MP切换按CP,停线复测,质量
车身域控,DCU-B-001,手插,200,波峰焊,波峰#2,◆接插件焊点,IPC-A-610 Class2,目检+AOI,首末件,不良代码,停线清锡珠,工艺
车身域控,DCU-B-001,测试,430,FCT独立台,FCT-DCU-B-04,◆CAN/LIN,100%通过,车身专用脚本,100%,p图;禁止与ADAS工站混批,追溯烧录+ICT,测试
座舱域控,DCU-C-001,离线烧录,055,eMMC离线@SMT前,烧录#4,◆镜像版本,v3.0.x only,100%校验,每颗,批记录,错版封存,测试
座舱域控,DCU-C-001,SMT,130,回流焊,炉#6,◆峰值温度,245±5°C,Profile比对,每批首件,曲线存档,停线复测,工艺
组合仪表,IC-002,离线烧录,048,MCU预烧@SMT前,烧录#1,◆Boot,CSR清单,100%,每颗,批前,停线,测试
组合仪表,IC-002,手插,210,手工插装,THT线,◆定位柱,插装到位度,检具,5件/h,目视,返工,生产
组合仪表,IC-002,装配,500,仪表总成,装配线,◆扭矩,2.5±0.3Nm,扭矩枪,100%,SPC,超差停线,质量
中控HU,HU-003,离线烧录,052,eMMC+主控@SMT前,烧录#6,◆镜像,CSR,100%,每颗,批记录,隔离,测试
中控HU,HU-003,SMT,120,SMT面,线#2,◆DDR BGA,按HU-Profile,AOI+AXI,SL全检/MP按CSR,缺陷Pareto,隔离批次,工艺
ADAS域控,DCU-A-001,装配,520,域控合盖,拧紧站,◆接地螺钉扭矩,按CSR,扭矩枪,100%,记录,重拧+复检EMC,质量
